time,TimerNodeTime,AltitudeSendTime,AltitudeRosSendTime,CurrentAltitude,CurrentAltitudeCentimeters,AltitudeReached,ServoCommanderSendTime,ServoCommanderRosSendTime,Joint1CommandPos,Joint1ActualPos,Joint2CommandPos,Joint2ActualPos,ServoJerkSendTime,ServoJerkRosSendTime,NumStrokes,JerkMessage,JerkRate
0.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.40,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.60,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.80,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.00,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.20,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.40,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.60,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.80,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
6.00,5,16-21:35:52,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
6.20,5,16-21:35:53,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
6.40,5,16-21:35:53,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
6.60,5,16-21:35:53,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
6.80,5,16-21:35:53,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
7.00,6,16-21:35:53,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
7.20,6,16-21:35:54,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
7.40,6,16-21:35:54,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
7.60,6,16-21:35:54,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
7.80,6,16-21:35:54,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
8.00,7,16-21:35:54,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:55,0,7,Still jerking it (and by it I mean servos): ID-1, ,1,
8.20,7,16-21:35:55,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:55,0,7,Still jerking it (and by it I mean servos): ID-1, ,1,
8.40,7,16-21:35:55,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:55,0,7,Still jerking it (and by it I mean servos): ID-1, ,1,
8.60,7,16-21:35:55,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:55,0,7,Still jerking it (and by it I mean servos): ID-1, ,1,
